Station,T.Max,T.Min,T.Med,(C),(%),Wind Dir.,Wind Int.,Press.,Prec.,TotCl,Low,Sun,Vis
Sabang / Cut Bau,31.6,25.6,27.6,22.6,74.5,SW,25.7,1009.7,0,7.4,3.9,4,8.4
Lhokseumawe/Malik...,31.7,23.8,27,24.5,86.4,ESE,4.9,1007.8,4,7.9,2.5,6.9,6.6
Banda Aceh / Blan...,32.6,24.2,27.6,22.3,73.5,WNW,5.8,1008,2,5.6,2.6,1.2,9.9
Meulaboh / Cut Ny...,31,21,24.7,23.3,92.3,WSW,6.5,1009.8,----,7.2,4.5,0,5.6
Belawan,30.6,24.5,27.3,24.5,84.9,SSW,11.6,1008,25,7.5,2.8,3.3,6
Kualanamu Medan,30.7,23.2,26.6,24.5,88.5,ENE,8.8,1007.2,11,7,3,3.2,7.8
Sibolga / Pinangs...,31.1,22,25.3,23,88.4,WNW,6.3,1009.8,51,7,3.5,0,5.8
Gunung Sitoli/Bin...,29.1,22.9,24.7,23,90.1,WSW,5.6,1009.7,----,6.6,3.9,0,6.9
"Batan, Sumatra",33,23.4,26.3,25,93.1,SSW,7.4,1010.5,32,7.6,2.1,0.4,8.9
Tanjungpinang / K...,30,24.8,26.8,25,90.5,S,7.2,1009.5,17,6.5,2.9,2.9,9
Pakanbaru / Simpa...,31.5,23.2,26.5,23.4,83.9,SSE,7.9,1007.7,3,7,3.4,4.5,7.8
Tarempa,30.7,26.2,27.3,25,86.8,S,6.4,1008.2,1,5.7,2.7,---,5.7
Ranai / Ranai,31.6,25,28.3,24.5,81.5,W,8.9,1008.3,7.4,1.2,---,---,10
Mia Padang,30.2,22.2,24.8,23.5,92.6,NNW,13.7,1010.3,35,7.8,3.6,---,7.2
Rengat/Japura,31.6,24.2,27.1,24.4,85.8,S,3.9,1008.6,5,7,4.9,2.3,6.4
Singkep / Dabo,29,24.5,26.6,25.4,93.5,S,5.1,1008.5,5,7.5,3.5,0,8
Jambi / Sultan Taha,29.2,24.6,26.7,24.3,86.6,SE,6.9,1008.8,1,7.5,3.1,0,8.3
Kerinci / Depati ...,29.2,18.4,21.7,19.5,87.6,N,2.3,922.7,36,6.8,3.9,6.8,4.9
Palembang / Talan...,30.2,24.8,26.7,24.8,88.7,SE,5.1,1009.1,1,6.2,2.8,0.5,9.6
Pangkalpinang / P...,29,25.1,26.6,24.2,86.9,ESE,7.9,1009,2,7.1,3,0.1,8.2
Tanjungpandan / B...,31,23.4,24.9,23.8,93.2,ESE,3.7,1009.4,81,7.1,5,0,4.8
Bengkulu / Padang...,30.9,22.2,26.4,23.9,87.1,NNW,7.2,1008.4,14,7.2,4.2,5.7,6.6
Tanjung Karang/Ra...,31,23,25.5,23.8,91.1,ENE,6,1010.2,37,7.5,3.8,2,8.5
Longbawan / Juvai...,-----,-----,-----,-----,78.2,S,7.4,905.8,7,7.2,5.2,4.6,5.2
Tarakan / Juwata,30.2,24.6,26.6,25,90.7,WNW,5.1,1008.9,2.6,6.2,3.8,1.5,8
Tanjung Selor,31.9,24.7,27.1,24.6,86.9,WSW,4.2,1008.5,0,5.1,3,3.3,5.6
Tanjung Redep / B...,32.5,23.6,27.1,25.3,89.9,E,3.5,1009.2,0,4.6,2.8,2,8
Paloh,32,23.6,27.8,24.2,89.8,SE,3.7,1009.7,41,7.2,3.8,3.2,8.6
Nangapinoh,32.8,24.5,28.6,24.7,82.5,SE,2.8,1008.8,15,7,4.3,5.7,7.8
Sintang,32,23.6,26.3,24.5,90.8,SE,2.8,1008.4,2,6.2,4.1,5,5.8
Putusibau,-----,-----,-----,-----,83.4,N,2.6,1010.5,19,6,4.4,3.5,6.2
Pontianak / Supadio,32.2,23.6,26.2,24.4,88.2,NNW,5.8,1009.2,65,6.7,4.9,---,6
Muaratewe / Berin...,32.5,24.7,28.6,24.8,83.7,CAL,0,1008.7,23,6.3,5.7,3.9,7.2
Samarinda / Temin...,30.2,24,27.1,24.4,80.1,NNW,3.3,1009.4,4,6,2.2,0.3,8.8
Ketapang / Rahadi...,32.3,23.6,26.8,24.5,87.7,ESE,6.9,1009.8,105,7.4,4.9,5.3,6.1
Balikpapan / Sepi...,29.8,24.9,26.9,25.7,93.2,SW,4.6,1008.5,Tr,6.5,2.9,0.3,9.1
Pangkalan Bun/Isk...,31,24.8,26.4,24.8,89.9,SE,3.2,1009,----,7.1,5.1,2.1,7
Palangka Raya/Tji...,32.5,24.6,27.1,25.6,91.2,SSE,3.5,1010.5,1,6.2,4.8,4.9,7.9
Banjarmasin / Sya...,32,25,27.7,23.8,79.8,E,10.4,1008.3,Tr,4.5,3.2,7,8.8
Kotabaru,30.2,24.5,27.4,24.9,89.2,E,4.6,1008.8,22,7.2,5.2,0,7.5
Serang,29.8,24.2,26.2,24.1,89.1,NNE,1.2,1008.4,17,7.9,4.9,0,5.5
Curug / Budiarto,29.9,24.1,26.5,24.2,88.1,WNW,3.9,1009.9,2,7.4,3.9,0,4
Jakarta / Tanjung...,31.8,24.6,27.9,24.3,82.1,E,9.5,1009.2,15,7.6,2,2,7
Jakarta / Observa...,31.6,24.4,28.4,24.3,79.9,E,4.6,1009.4,7,7,4,1,6.2
Jakarta / Soekarn...,30.6,23.8,27.3,23.8,82.4,E,8.6,1009.5,4,6.6,2,2,5.8
Citeko / Puncak,26,18.7,21.7,19.1,86.1,WSW,1.2,903.1,33,7.2,4.8,2.6,7.5
Bandung / Husein,26.8,19.4,21.8,20,90,E,7.2,1014.4,21,5.9,3.1,---,5.8
Jatiwangi,33.6,24.3,27.8,24.1,80.4,SE,6.7,1009.2,0,4.1,3,5,8.1
Tegal,32.2,25.3,28.1,23.7,77.6,E,4.9,1009.4,0,6,1.9,7,9.5
Cilacap,30,25.2,27.8,24.3,80.8,ESE,16.2,1010.1,0,6,3.1,8.2,8.2
Semarang,33.4,24.8,29,22.2,68.2,E,10.2,1008.9,0,5.6,2.6,7.3,8.5
Semarang / Ahmady...,33.4,24.6,29.1,22.5,68.9,ESE,12.7,1009.1,0,5.6,2,7.8,6.6
Sangkapura Bawean...,30.3,27.5,28.6,23.6,74.5,ESE,14.8,1009.1,0,4.8,3.2,3.6,9.5
Surabaya / Perak,33.4,25.4,29.2,23.1,70.6,ESE,10,1009.5,0,2.2,0.8,9.2,9.8
Surabaya / Juanda,31.6,24.2,28.2,22.8,73.9,E,12,1009.6,0,3.8,1,9.1,7.1
Surabaya/Perak Ii,33.5,25,29.2,23.6,73.1,SE,8.3,1009.5,0,2.4,0.8,8.4,9.8
Kalianget Madura ...,31,26.2,28.5,23.3,73.8,ESE,14.8,1009.8,0,3.2,1.8,9.6,9
Banyuwangi,29.4,24,26.7,22.9,79.6,S,3.9,1010.3,0,5.2,4.1,8.2,8.5
Tahuna,32.4,24.6,28,24.7,82.9,ESE,4.4,1008.4,0,3.2,2.2,1,8.8
Menado / Dr. Sam ...,32.1,22.8,26.4,23.4,84.1,ENE,2.1,1008.8,37,6.4,1.5,2.4,10
Bitung,33.2,26,28.4,24.6,80.3,SSW,5.1,1009.2,Tr,6.5,4.2,4.8,11.4
Toli-Toli / Lalos,30.6,24,26.9,24.4,86.5,E,5.8,1008.1,10,6.8,3,6.6,9.4
Gorontalo / Jalal...,32.7,24.3,27.5,24.9,86.8,S,8.8,1007.5,0,5.5,3.2,7.2,9.4
Palu / Mutiara,32.4,22,26.9,23.6,82.6,NE,5.3,1010,0.4,5.4,2.8,5,7.9
Luwuk / Bubung,30,24.2,26.5,23.4,83,WSW,9,1009.9,----,7.1,3.5,1.2,8.1
Poso / Kasiguncu,33.8,23.4,27.6,23.6,80.3,W,3.2,1008.5,0,4.5,2,3.2,8.2
Majene,31.5,26.6,28.5,23.4,73.9,E,12,1009.5,0,4.1,2,7.3,10.5
Masamba,30.8,23.4,26.9,23.6,82.2,NNE,4.4,1009.9,2,6.6,2.6,3.2,7.2
Kolaka / Poma,33.4,23.6,28.5,21.6,63.4,NE,4.6,1010,0,3.5,1.8,8.6,9.2
Kendari / Wolterm...,31.6,22,26.8,24,82.1,E,3.7,1011.9,0,3,2.8,---,9
Ujung Pandang / H...,33.4,21,26.6,22.7,80.6,WSW,2.8,1009.1,0,3.6,1.1,10.7,9
Ujang Pandang,32.9,24.8,28.7,22.2,68.6,SW,5.3,1008.8,0,2.4,1.2,9.8,14
Bau-Bau / Beto Am...,31.9,21.6,26,21.8,79.7,ENE,4.4,1012.6,0,2.1,1,9.4,8.5
Denpasar / Ngurah...,29.8,26.2,27.7,23.8,79,ESE,14.1,1010.8,0,5.1,2.2,9.6,10
Ampenan / Selapar...,30.6,21.6,26.3,22.8,81.3,SE,9.3,1011.4,0,2.9,1.1,10.5,7.5
Sumbawa Besar / S...,33.1,22.4,27.1,21.4,71.8,ESE,16,1009.7,0,3,2.1,10.9,9.1
Bima,33.2,21.8,27.6,23,76.2,S,10.4,1010.6,0,2.4,1.5,7.8,8
Ruteng / Satartacik,25.6,13.8,19.7,17.6,79.1,NNW,8.2,887.5,0,4.2,3.6,8.5,12.8
Maumere / Wai Oti,32.4,22,27.4,21.2,70.2,SW,5.3,1011.7,0,2.8,2.8,8,9
Larantuka,32,23.2,27.5,22.5,75.1,S,4.9,1010.6,0,2.5,2,6.7,11.1
Alor / Mali,31.3,21.6,26.9,21.8,73.5,NE,10.1,1011.2,0,3.4,1.6,8.5,11.4
Waingapu / Mau Hau,32,21.2,26.3,19.2,67.6,SE,11.6,1011.8,0,1.2,1.2,10.1,7.5
Kupang / El Tari,32.3,23.4,27.2,21.5,72.6,E,18.3,1012.1,0,2.4,1.6,9.3,9
Rote / Baa,30,22.8,26.2,20.8,73.6,ESE,14.1,1016.9,0,2.8,2.5,10.7,10
Sabu / Tardamu,32.4,25.6,28.4,22.6,70.5,E,14.3,1011.5,0,1.3,1.3,10.4,10.6
Galela / Gamarmal...,33.1,22.8,27.2,25.3,90,SSE,3,1008.3,1,4.6,2.9,7.7,8.9
Ternate / Babullah,31.4,24.9,27.3,24.7,86.7,ESE,5.6,1009.8,0.8,5.4,3.2,6.9,9
Labuha/Oesman Sadik,30,24,26.1,24.2,89.5,NE,4.2,1009.1,----,6.6,3.9,4.2,8.2
Deo Sorong,30.2,24.4,26.5,24.7,89.3,ESE,7.2,1008.7,7,4.8,3.4,2.4,6.9
Manokwari / Rendani,31.4,22.3,24.8,22.8,89.8,NW,1.6,1008.7,46,6.5,3.1,1.5,7.8
Biak / Mokmer,28.5,24.3,26,24.8,92,NNE,3.7,1009,0,8,2.8,0,9.8
Serui / Yendosa,29.3,24.8,26.7,24.7,88.9,SSE,3.4,1008,2,6.9,3.4,3,6.4
Sarmi,31.8,24,27.9,24.6,78.9,SSE,2.2,1008.8,0.4,6.5,2.7,4,8.7
Sanana,31.2,25.8,28.6,24.5,78.4,SE,4.8,1009.3,0,4.9,2.9,---,9
Fak-Fak / Torea,28,23.2,24.8,23.5,91.3,SE,11.6,1011.1,1,6.9,3.6,3.3,6.3
Nabire,31.1,22.8,27,25.4,87.1,NW,6.5,1008.7,3,6.3,2.7,3.8,6.3
Wamena / Wamena,26.7,16,19.9,16.8,83.7,E,6.9,835.2,10,6.6,5.3,6.1,6.4
Jayapura / Sentani,34.9,24.4,28,23.6,77.9,SSW,3.7,1008.4,0,5.4,2.1,6.9,10
Jayapura,32,26.2,29.1,25.8,81.1,ENE,4,1008.7,0,5.2,2.7,6,7.8
Namlea,31,24.2,26.7,24,85.8,SE,15.5,1009.4,7,5.5,2.4,10,8.9
Amahai,27.3,24.1,24.7,24.1,96.3,SE,2.5,1010.5,70,7.4,4.9,0,8.4
Ambon / Pattimura,27.9,23.8,25.3,23.8,91.9,SE,7.4,1010,31,7.2,5,0.3,7.2
Geser,30.1,25.6,27.5,24.9,83.6,NE,27.3,1009.6,5,5.7,2.9,3.4,6.1
Kaimana / Utarom,30,25.5,27.1,24,83.8,SSE,9,1009.5,0,5.5,3.1,2.7,7.4
Enarotali,22.6,16.4,19.5,16.5,81.2,NW,5.9,824.1,11,6.5,3.3,4.5,8
Neira,28.2,24.4,26.3,23.6,80.3,SE,18.2,1009.8,17,6.8,5.2,0,7.3
Timika,28,23.5,25.3,24.2,93.9,S,3,1011.5,114,8,5.9,---,3.9
Tual / Dumatubun,29.6,25.2,26.8,23.9,84.1,SE,12.3,1010.2,0,7,4.8,0,7.2
Tanah Merah / Tan...,30.3,24.4,26.6,24.5,89.1,SSE,4.4,1010.3,13,7.4,5,2.3,4.5
Saumlaki,29.2,24.8,26.7,22.3,77.1,ESE,14.4,1011.1,0,3.4,3.4,9.3,15
Merauke / Mopah,28.2,23.9,25.9,22.8,83.6,SE,12.5,1010.3,0,4.9,3.6,9.1,9
Summary,30.9,23.6,26.7,23.5,83.1,ESE,3.7,1009.6,11,5.6,3.2,4.6,8
